SV name  |  value  |  closest game ID  |  score  |  alternates
====================================================================================================
Alex [Alex]  |  4.0  |  ???  |  -  |  -
Alien Set [AlienSet]  |  3250.0  |  ???  |  -  |  -
Alienbeam [Alienbeam]  |  1875.0  |  ???  |  -  |  -
America [America]  |  7.0  |  ???  |  -  |  -
Amerilaser [Amerilaser]  |  22.0  |  ???  |  -  |  -
Apocalypse (Gun) [ChromaApocalypseGun]  |  3.0  |  ???  |  -  |  -
Arctic (Gun) [ChromaArcticGun]  |  10.0  |  ???  |  -  |  -
Asteroid [Asteroid]  |  2.0  |  AsteroidKnife  |  0.92  |  -
Aurora (Gun) [ChromaAuroraGun]  |  55.0  |  ???  |  -  |  -
Aurora (Knife) [ChromaAuroraKnife]  |  3.0  |  ???  |  -  |  -
Aurora Set (Legend.) [AuroraSetLegend]  |  58.0  |  ???  |  -  |  -
Aurora Set (Rare) [AuroraSetRare]  |  9.0  |  ???  |  -  |  -
Australis [Australis]  |  145.0  |  ???  |  -  |  -
Bat [Bat]  |  120.0  |  Bats  |  0.857  |  Bat Swarm(0.85), Bats2024(0.85), Bats_K_2024(0.85)
Bat Set [BatSet]  |  153.0  |  Bats  |  0.85  |  -
Bats [Bats]  |  2.0  |  Bats  |  1.0  |  Bat Swarm(0.85), Bats2024(0.85), Bats_K_2024(0.85)
Bats (2020) [Bats2020]  |  3.0  |  Bats2024  |  0.875  |  Bats(0.85), Bats_K_2024(0.824), Bats_K_2025(0.824)
Bats (Gun) [ChromaBatsGun]  |  1.0  |  Bats  |  0.92  |  -
Bats (Knife) [ChromaBatsKnife]  |  190.0  |  Bats  |  0.92  |  -
Bats Set [BatsSet]  |  191.0  |  Bats  |  0.92  |  -
Battleaxe [Battleaxe]  |  12.0  |  ???  |  -  |  -
Battleaxe II [BattleaxeII]  |  17.0  |  ???  |  -  |  -
Batwing [Batwing]  |  42.0  |  ???  |  -  |  -
Bauble [Bauble]  |  825.0  |  ???  |  -  |  -
Bauble Set [BaubleSet]  |  852.0  |  ???  |  -  |  -
Beach [Beach]  |  35.0  |  BeachBalls2023  |  0.85  |  BeachBalls2024(0.85), BeachBalls2024_Box(0.85), BeachBalls2025(0.85)
Bioblade [Bioblade]  |  8.0  |  ???  |  -  |  -
Blaster [Blaster]  |  17.0  |  ???  |  -  |  -
Blizzard [Blizzard]  |  260.0  |  ???  |  -  |  -
Blizzard Set [BlizzardSet]  |  520.0  |  ???  |  -  |  -
Blood [Blood]  |  8.0  |  ???  |  -  |  -
Bloom [Bloom]  |  400.0  |  ???  |  -  |  -
Bloom Set [BloomSet]  |  810.0  |  ???  |  -  |  -
Blossom [Blossom]  |  1290.0  |  ???  |  -  |  -
Blue Elite [BlueElite]  |  3.0  |  ???  |  -  |  -
Blue Scratch [BlueScratch]  |  2.0  |  ???  |  -  |  -
Blue Seer [BlueSeer]  |  3.0  |  ???  |  -  |  -
Boneblade [Boneblade]  |  7.0  |  ???  |  -  |  -
Bones [Bones]  |  240.0  |  Bones  |  1.0  |  Bones_K_2024(0.85), SkellyBones(0.85), SkellyBones2020(0.85)
Borealis [Borealis]  |  150.0  |  ???  |  -  |  -
Borealis Set [BorealisSet]  |  295.0  |  ???  |  -  |  -
Bow Set [BowSet]  |  410.0  |  ???  |  -  |  -
Brains [Brains]  |  155.0  |  ???  |  -  |  -
Branches [Branches]  |  50.0  |  ???  |  -  |  -
Bringer Set [BringerSet]  |  66.0  |  ???  |  -  |  -
Broken [Broken]  |  7.0  |  Bokeh  |  0.727  |  -
Bunnies [Bunnies]  |  4.0  |  ???  |  -  |  -
C. Constellation [CConstellation]  |  27000.0  |  ???  |  -  |  -
C. Elderwood Blade [CElderwoodBlade]  |  37.0  |  ???  |  -  |  -
C. Traveler's Gun [CTravelersGun]  |  220000.0  |  Traveler's Gun  |  0.96  |  TravelerGun(0.917), Traveler's Axe(0.72)
C. Vampire's Gun [CVampiresGun]  |  29000.0  |  Vampire  |  0.85  |  -
Candleflame [Candleflame]  |  33.0  |  Candle  |  0.85  |  -
Candy [Candy]  |  80.0  |  Candy  |  1.0  |  CandyKnife(0.92), Candy Bucket(0.85), Candy Corn(0.85)
Candy Corn (2019) [CandyCorn2019]  |  10.0  |  Candy  |  0.85  |  Candy Corn(0.85), CandyCorn_G_2024(0.815), CandyCorn_G_2025(0.815)
Candy Set [CandySet]  |  112.0  |  Candy  |  0.92  |  CandyKnife(0.92), Candy Bucket(0.737)
Candy Swirl (Gun) [ChromaCandySwirlGun]  |  3.0  |  Candy  |  0.85  |  -
Candy Swirl (Knife) [ChromaCandySwirlKnife]  |  1.0  |  Candy  |  0.85  |  CandyKnife(0.8)
Candy Swirl Set [CandySwirlSet]  |  4.0  |  Candy  |  0.85  |  -
CandyCorn (2017) [CandyCorn2017]  |  22.0  |  Candy  |  0.85  |  Candy Corn(0.85), CandyCorn_G_2024(0.815), CandyCorn_G_2025(0.815)
Cane (Knife) [ChromaCaneKnife]  |  650.0  |  CandyKnife  |  0.842  |  -
Cavern (Gun) [ChromaCavernGun]  |  1.0  |  ???  |  -  |  -
Cavern (Knife) [ChromaCavernKnife]  |  7.0  |  CandyKnife  |  0.762  |  -
Cavern Set [CavernSet]  |  8.0  |  ???  |  -  |  -
Celestial [Celestial]  |  2025.0  |  ???  |  -  |  -
Celestial Set [CelestialSet]  |  4725.0  |  ???  |  -  |  -
Chill [Chill]  |  10.0  |  ???  |  -  |  -
Chroma Alien Set [ChromaAlienSet]  |  36750.0  |  ???  |  -  |  -
Chroma Alienbeam [ChromaAlienbeam]  |  24000.0  |  ???  |  -  |  -
Chroma Bauble [ChromaBauble]  |  34000.0  |  ???  |  -  |  -
Chroma Bauble Set [ChromaBaubleSet]  |  35800.0  |  ???  |  -  |  -
Chroma Blizzard [ChromaBlizzard]  |  8000.0  |  ???  |  -  |  -
Chroma Blizzard Set [ChromaBlizzardSet]  |  12250.0  |  ???  |  -  |  -
Chroma Boneblade [ChromaBoneblade]  |  22.0  |  ???  |  -  |  -
Chroma Bringer Set [ChromaBringerSet]  |  125.0  |  ???  |  -  |  -
Chroma Candleflame [ChromaCandleflame]  |  40.0  |  Candle  |  0.85  |  -
Chroma Cookiecane [ChromaCookiecane]  |  32.0  |  Cookie  |  0.85  |  -
Chroma Darkbringer [ChromaDarkbringer]  |  65.0  |  ???  |  -  |  -
Chroma Deathshard [ChromaDeathshard]  |  35.0  |  ???  |  -  |  -
Chroma Ever Set [ChromaEverSet]  |  127000.0  |  ???  |  -  |  -
Chroma Evergreen [ChromaEvergreen]  |  52000.0  |  ???  |  -  |  -
Chroma Evergun [ChromaEvergun]  |  75000.0  |  ???  |  -  |  -
Chroma Fang [ChromaFang]  |  32.0  |  ???  |  -  |  -
Chroma Fire Bat [ChromaFireBat]  |  3.0  |  ???  |  -  |  -
Chroma Fire Bear [ChromaFireBear]  |  3.0  |  ???  |  -  |  -
Chroma Fire Bunny [ChromaFireBunny]  |  3.0  |  ???  |  -  |  -
Chroma Fire Cat [ChromaFireCat]  |  3.0  |  Fire Cat  |  0.85  |  -
Chroma Fire Dog [ChromaFireDog]  |  3.0  |  ???  |  -  |  -
Chroma Fire Fox [ChromaFireFox]  |  3.0  |  ???  |  -  |  -
Chroma Fire Pig [ChromaFirePig]  |  3.0  |  ???  |  -  |  -
Chroma Gemstone [ChromaGemstone]  |  32.0  |  ???  |  -  |  -
Chroma Gingerblade [ChromaGingerblade]  |  27.0  |  ???  |  -  |  -
Chroma Heart Wand [ChromaHeartWand]  |  4250.0  |  ???  |  -  |  -
Chroma Heat [ChromaHeat]  |  28.0  |  ???  |  -  |  -
Chroma Laser [ChromaLaser]  |  40.0  |  ???  |  -  |  -
Chroma Lightbringer [ChromaLightbringer]  |  60.0  |  ???  |  -  |  -
Chroma Luger [ChromaLuger]  |  50.0  |  ???  |  -  |  -
Chroma Ornament [ChromaOrnament]  |  1800.0  |  ???  |  -  |  -
Chroma Pet Set [ChromaPetSet]  |  21.0  |  ???  |  -  |  -
Chroma Raygun [ChromaRaygun]  |  12750.0  |  ???  |  -  |  -
Chroma Saw [ChromaSaw]  |  23.0  |  ???  |  -  |  -
Chroma Seer [ChromaSeer]  |  28.0  |  ???  |  -  |  -
Chroma Shark [ChromaShark]  |  32.0  |  ???  |  -  |  -
Chroma Slasher [ChromaSlasher]  |  32.0  |  ???  |  -  |  -
Chroma Slasher Set [ChromaSlasherSet]  |  72.0  |  ???  |  -  |  -
Chroma Snow Dagger [ChromaSnowDagger]  |  4250.0  |  ???  |  -  |  -
Chroma Snow Set [ChromaSnowSet]  |  12750.0  |  ???  |  -  |  -
Chroma Snowcannon [ChromaSnowcannon]  |  8500.0  |  ???  |  -  |  -
Chroma Snowstorm [ChromaSnowstorm]  |  4250.0  |  ???  |  -  |  -
Chroma Sun Set [ChromaSunSet]  |  21500.0  |  Sunset  |  0.85  |  -
Chroma Sunrise [ChromaSunrise]  |  13250.0  |  Sunrise  |  0.85  |  -
Chroma Sunset [ChromaSunset]  |  8250.0  |  Sunset  |  0.85  |  -
Chroma Sweet [ChromaSweet]  |  2200.0  |  ???  |  -  |  -
Chroma Sweet Set [ChromaSweetSet]  |  4700.0  |  ???  |  -  |  -
Chroma Swirly Gun [ChromaSwirlyGun]  |  38.0  |  ???  |  -  |  -
Chroma Tides [ChromaTides]  |  27.0  |  ???  |  -  |  -
Chroma Treat [ChromaTreat]  |  2500.0  |  ???  |  -  |  -
Chroma Watergun [ChromaWatergun]  |  3400.0  |  ???  |  -  |  -
Chroma Weapon Set [ChromaWeaponSet]  |  535.0  |  ???  |  -  |  -
Chromatic (Knife) [ChromaChromaticKnife]  |  1.0  |  ???  |  -  |  -
Class - Common [ClassCommon]  |  750.0  |  ???  |  -  |  -
Class - Legendary [ClassLegendary]  |  25.0  |  ???  |  -  |  -
Class - Rare [ClassRare]  |  55.0  |  ???  |  -  |  -
Class - Uncommon [ClassUncommon]  |  425.0  |  ???  |  -  |  -
Clockwork [Clockwork]  |  10.0  |  ???  |  -  |  -
Coal (Knife) [ChromaCoalKnife]  |  15.0  |  Coal  |  0.92  |  CandyKnife(0.737)
Collectible Set [CollectibleSet]  |  71.0  |  ???  |  -  |  -
Colored Seer Set [ColoredSeerSet]  |  16.0  |  ???  |  -  |  -
Combat II [CombatII]  |  10.0  |  ???  |  -  |  -
Constellation [Constellation]  |  2700.0  |  ???  |  -  |  -
Cookie Set [CookieSet]  |  25.0  |  Cookie  |  0.92  |  -
Cookieblade [Cookieblade]  |  3.0  |  Cookie  |  0.92  |  -
Cookiecane [Cookiecane]  |  13.0  |  Cookie  |  0.85  |  -
Corl [Corl]  |  4.0  |  Coal  |  0.75  |  -
Corrupt [Corrupt]  |  470.0  |  ???  |  -  |  -
Corrupt Set [CorruptSet]  |  510.0  |  ???  |  -  |  -
Cotton Candy [CottonCandy]  |  40.0  |  Candy  |  0.85  |  -
Cowboy [Cowboy]  |  4.0  |  ???  |  -  |  -
Dark Set [DarkSet]  |  3225.0  |  ???  |  -  |  -
Dark Set (Rare) [DarkSetRare]  |  76.0  |  ???  |  -  |  -
Darkbringer [Darkbringer]  |  33.0  |  ???  |  -  |  -
Darkgun [Darkgun]  |  1.0  |  ???  |  -  |  -
Darkknife [Darkknife]  |  75.0  |  ???  |  -  |  -
Darkshot [Darkshot]  |  1625.0  |  ???  |  -  |  -
Darksword [Darksword]  |  1600.0  |  ???  |  -  |  -
Deathshard [Deathshard]  |  13.0  |  ???  |  -  |  -
Denis [Denis]  |  4.0  |  ???  |  -  |  -
Dungeon [Dungeon]  |  300.0  |  ???  |  -  |  -
Ecto [Ecto]  |  20.0  |  ???  |  -  |  -
Eggblade [Eggblade]  |  5.0  |  ???  |  -  |  -
Elderwood Blade [ElderwoodBlade]  |  33.0  |  ???  |  -  |  -
Elderwood Revolver [ElderwoodRevolver]  |  33.0  |  ???  |  -  |  -
Elderwood Scythe [ElderwoodScythe]  |  38.0  |  ???  |  -  |  -
Elderwood Set [ElderwoodSet]  |  71.0  |  ???  |  -  |  -
Elf (2018) [Elf2018]  |  8.0  |  ???  |  -  |  -
Elf (Knife) [ChromaElfKnife]  |  17.0  |  EliteKnife  |  0.778  |  -
Energized (Gun) [ChromaEnergizedGun]  |  2.0  |  Energized  |  0.92  |  Energized_G_2025(0.769)
Eternal [Eternal]  |  7.0  |  ???  |  -  |  -
Eternal II [EternalII]  |  7.0  |  ???  |  -  |  -
Eternal III [EternalIII]  |  8.0  |  ???  |  -  |  -
